1,1,1,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,1,2,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,2,1,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,2,2,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,1,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,2,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,3,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,4,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,5,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
3,3,17,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,4,1,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,4,2,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
2,5,1,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
2,5,4,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
2,5,10,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
2,5,11,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,3,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,4,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,5,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,10,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,21,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,6,22,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,8,13,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,8,15,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
1,8,22,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
6,10,5,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
10,11,13,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
10,11,22,"-0001-11-30 00:00:00","-0001-11-30 00:00:00"
